epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,885.896,1.79156,2.16227,1.75102,0.00153,0.89474,0.04578,0.0179,1.19067,103.947,1.16601,0.0002525,0.0002525,0.0002525
27,919.572,1.87759,2.5066,1.80215,0.00126,0.73684,0.047,0.01724,1.21535,99.9648,1.18292,0.000252304,0.000252304,0.000252304
28,952.68,1.81955,2.2632,1.76886,0.00126,0.73684,0.047,0.01724,1.21535,99.9648,1.18292,0.000251316,0.000251316,0.000251316
29,987.078,1.75742,2.19403,1.66896,0.00126,0.73684,0.04881,0.01865,1.19671,96.6709,1.15907,0.000249536,0.000249536,0.000249536
30,1020.42,1.738,2.0046,1.64902,0.00126,0.73684,0.04881,0.01865,1.19671,96.6709,1.15907,0.000246964,0.000246964,0.000246964
31,1052.96,1.91344,2.54839,1.84739,0.00117,0.68421,0.04579,0.01605,1.21314,94.258,1.17749,0.0002436,0.0002436,0.0002436
32,1085.33,1.64686,1.99101,1.63668,0.00117,0.68421,0.04579,0.01605,1.21314,94.258,1.17749,0.000239444,0.000239444,0.000239444
33,1119.3,1.74121,2.20845,1.6181,0.00117,0.68421,0.04178,0.01388,1.19305,92.5678,1.17486,0.000234496,0.000234496,0.000234496
34,1152.53,1.62465,2.07996,1.65394,0.00117,0.68421,0.04178,0.01388,1.19305,92.5678,1.17486,0.000228756,0.000228756,0.000228756
35,1185.78,1.57904,1.93889,1.57487,0.00117,0.68421,0.04013,0.01199,1.1897,91.4033,1.18174,0.000222224,0.000222224,0.000222224
36,1218.77,1.61526,2.00788,1.61534,0.00117,0.68421,0.04013,0.01199,1.1897,91.4033,1.18174,0.0002149,0.0002149,0.0002149
37,1252.24,1.69533,2.03514,1.61598,0.00117,0.68421,0.04362,0.01246,1.20208,90.8299,1.19339,0.000206784,0.000206784,0.000206784
38,1285.16,1.74379,2.01013,1.61816,0.00117,0.68421,0.04362,0.01246,1.20208,90.8299,1.19339,0.000197876,0.000197876,0.000197876
39,1319.25,1.69355,1.95746,1.63348,0.00117,0.68421,0.05158,0.01676,1.21105,90.9541,1.18728,0.000188176,0.000188176,0.000188176
40,1354.23,1.5997,1.91016,1.58692,0.00117,0.68421,0.05158,0.01676,1.21105,90.9541,1.18728,0.000177684,0.000177684,0.000177684
41,1389.09,1.68522,1.96873,1.53979,0.0015,0.42105,0.0515,0.01452,1.20654,91.1849,1.18217,0.0001664,0.0001664,0.0001664
42,1425.29,1.53563,1.9006,1.43339,0.0015,0.42105,0.0515,0.01452,1.20654,91.1849,1.18217,0.000154324,0.000154324,0.000154324
43,1461.04,1.73165,2.09513,1.69472,0.00126,0.73684,0.05618,0.01668,1.18157,91.6486,1.16665,0.000141456,0.000141456,0.000141456
44,1494.66,1.48743,1.78662,1.45056,0.00126,0.73684,0.05618,0.01668,1.18157,91.6486,1.16665,0.000127796,0.000127796,0.000127796
45,1528.94,1.52291,2.03406,1.47066,0.00126,0.73684,0.0515,0.01494,1.17093,92.5747,1.17035,0.000113344,0.000113344,0.000113344
46,1561.83,1.66033,1.94812,1.61941,0.00126,0.73684,0.0515,0.01494,1.17093,92.5747,1.17035,9.81e-05,9.81e-05,9.81e-05
47,1596.07,1.45919,1.85078,1.46011,0.00126,0.73684,0.04914,0.01398,1.16352,93.0795,1.17155,8.2064e-05,8.2064e-05,8.2064e-05
48,1630.43,1.43149,1.78227,1.43247,0.00126,0.73684,0.04914,0.01398,1.16352,93.0795,1.17155,6.5236e-05,6.5236e-05,6.5236e-05
49,1664.06,1.6198,2.00981,1.57016,0.00126,0.73684,0.05133,0.01461,1.15143,93.3281,1.16789,4.7616e-05,4.7616e-05,4.7616e-05
50,1698.47,1.46524,1.82457,1.40156,0.00126,0.73684,0.05133,0.01461,1.15143,93.3281,1.16789,2.9204e-05,2.9204e-05,2.9204e-05
